Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,5,,1,1,1,,2,,1,,,3,,1,2,,4
2,6,1,1,,1,,2,,,1,,1,1,1,,,1
3,7,1,,,,1,,,,2,,,1,1,1,,2
4,8,1,,,,,1,1,,,,,1,,,,1
5,6,2,1,1,,,,,,,1,,,2,,1,
6,4,1,1,,,,1,1,1,,,,,,,,
7,1,,,,1,,,,,,,1,,,,,
8,3,,,,,,1,,1,,2,,,,,,
9,3,,,,,,,,,,1,,,,,,
10,4,,,,,,,,,,,,,,2,,
11,,,,,,,,,,,1,,,,,,
12,4,1,,,,,1,,,,,1,,,,,1
13,2,2,,,,1,1,,,,,,,1,,,
14,4,,,,,,,,,,,,,,,,
15,,1,,,,,,,,,,,,,,,
16,3,,,,,,1,,,,2,1,,2,,,
17,3,,,,,,,,1,,2,,1,,,,
18,1,,,,1,,,,,,,,,,1,1,1
19,2,,,1,,,,,,,,,1,1,,,4
20,,,,1,,,,,1,,,,,,,,
22,,,,,,,1,,,,,,,,,,
23,,1,1,,1,,,,,,,,,1,,1,1
24,3,,,,1,,,,1,1,,,,,1,,
25,2,,1,,,,1,,,,,1,1,,,,
26,1,,,2,,,,1,1,,,1,,,,1,
27,3,,2,,,,2,,1,,,,,,,1,1
28,2,,,,1,,,,1,,,,,1,,,
29,1,,,,,,,,,,1,,,,,1,
30,4,,,,,,1,,,,,,,,,,
31,,,,,,,,,,,,1,,,1,,
32,2,,,,,,,,1,,1,,,,,,
34,1,,,,,,1,,,,,,,,,,
35,1,1,,,,,,,,,,,,,,,1
36,3,,,,,,,,,,,,,,,,
37,3,,1,,,,,,,,,,,1,,,
38,8,1,,,1,,,,,,,,,,1,,
39,9,,,,,1,,,1,,,1,,,,,
40,8,,,,,1,1,,,,,,,,,,1
41,23,,1,1,,1,3,1,,,,,2,,,,
42,25,,,,1,1,1,,,,,,1,1,,,1
43,39,3,,,1,,,3,1,,,,,1,1,1,1
44,59,4,,1,2,,2,3,2,1,,2,1,,,,2
45,123,7,,6,1,2,2,1,1,1,4,2,2,3,2,,4
46,166,13,4,4,3,2,5,6,,2,3,4,3,2,,1,3
47,362,21,4,5,2,6,12,8,4,4,,10,3,3,10,5,13
48,485,36,18,20,7,6,12,21,10,10,7,15,14,9,12,4,23
49,698,86,49,51,21,15,31,37,22,15,15,28,26,14,11,9,49
50,581,90,36,48,25,29,38,33,32,22,39,40,31,27,30,27,67
51,397,68,24,38,29,17,35,32,34,28,35,40,36,35,41,53,123
52,197,18,8,11,15,4,10,14,10,16,23,23,12,26,30,29,114
