"Week","flu_cases","RSV_cases"
1,"61918","131"
2,"64027","212"
3,"87318","238"
4,"94694","358"
5,"111501","379"
6,"117652","438"
7,"101832","464"
8,"82741","658"
9,"68883","904"
10,"79643","1171"
11,"85162","1491"
12,"69510","1812"
13,"55189","2494"
14,"25106","3148"
15,"13245","4448"
16,"9105","5498"
17,"5234","5379"
18,"2199","3905"
19,"1692","3832"
20,"1396","4332"
21,"1176","4748"
22,"949","4104"
23,"861","4308"
24,"753","3830"
25,"809","3970"
26,"966","4263"
27,"1395","5044"
28,"1648","5763"
29,"1843","5274"
30,"1925","5502"
31,"1988","5499"
32,"1768","4341"
33,"1275","2119"
34,"1445","1748"
35,"1874","2039"
36,"2220","2167"
37,"2520","1869"
38,"2725","1423"
39,"3124","1153"
40,"3832","1027"
41,"4391","992"
42,"3596","799"
43,"4298","743"
44,"5127","822"
45,"5252","739"
46,"9309","805"
47,"11678","734"
48,"24027","858"
49,"44673","961"
50,"94259","1048"
51,"211049","1164"
52,"317812","1272"
