COUNTRY_CODE,After,Before,raw_shift,week_shift
-99,51,5,46,-6
AFG,1,6,-5,-5
ALB,4,5,-1,-1
ARE,3,9,-6,-6
ARG,23,26,-3,-3
ARM,5,9,-4,-4
AUS,26,33,-7,-7
AUT,50,6,44,-8
AZE,2,44,-42,10
BEL,50,6,44,-8
BGD,42,27,15,15
BGR,3,4,-1,-1
BHR,5,9,-4,-4
BLR,5,6,-1,-1
BOL,19,26,-7,-7
BRA,9,15,-6,-6
BRB,46,10,36,-16
BTN,15,31,-16,-16
CAF,30,2,28,-24
CAN,47,1,46,-6
CHE,51,6,45,-7
CHL,21,27,-6,-6
CIV,11,46,-35,17
CMR,42,40,2,2
COD,8,7,1,1
COK,32,12,20,20
COL,21,21,0,0
CRI,2,37,-35,17
CYP,2,4,-2,-2
CZE,50,6,44,-8
DEU,50,8,42,-10
DMA,47,4,43,-9
DNK,50,5,45,-7
DOM,24,41,-17,-17
ECU,22,5,17,17
EGY,3,16,-13,-13
ESP,1,4,-3,-3
EST,50,48,2,2
ETH,43,3,40,-12
FIN,50,10,40,-12
FJI,12,41,-29,23
FRA,51,6,45,-7
FSM,36,6,30,-22
GBR,51,1,50,-2
GHA,28,33,-5,-5
GIN,30,46,-16,-16
GRC,1,6,-5,-5
GTM,20,11,9,9
GUM,43,42,1,1
HND,1,25,-24,-24
HRV,5,6,-1,-1
HTI,2,11,-9,-9
HUN,50,6,44,-8
IDN,2,3,-1,-1
IRL,1,1,0,0
ISR,1,3,-2,-2
ITA,51,5,46,-6
JAM,45,6,39,-13
JOR,9,1,8,8
KAZ,50,5,45,-7
KEN,22,6,16,16
KGZ,50,49,1,1
KHM,31,35,-4,-4
KIR,29,21,8,8
KWT,46,16,30,-22
LBN,8,6,2,2
LCA,1,7,-6,-6
LTU,50,4,46,-6
LUX,48,5,43,-9
LVA,49,5,44,-8
MAR,52,1,51,-1
MDG,50,7,43,-9
MDV,4,47,-43,9
MEX,2,3,-1,-1
MHL,47,45,2,2
MKD,3,8,-5,-5
MLT,1,1,0,0
MNE,1,51,-50,2
MNG,3,2,1,1
MNP,40,6,34,-18
NCL,13,33,-20,-20
NGA,7,26,-19,-19
NIU,20,39,-19,-19
NLD,15,11,4,4
NOR,1,7,-6,-6
OMN,6,10,-4,-4
PAK,2,3,-1,-1
PAN,32,14,18,18
PER,5,25,-20,-20
PLW,28,35,-7,-7
POL,50,9,41,-11
PRT,3,3,0,0
PRY,23,25,-2,-2
PSE,49,12,37,-15
PYF,2,12,-10,-10
QAT,44,1,43,-9
RUS,50,6,44,-8
SAU,50,47,3,3
SEN,31,38,-7,-7
SGP,20,21,-1,-1
SLB,33,12,21,21
SLV,45,1,44,-8
SRB,4,6,-2,-2
SUR,28,6,22,22
SVK,50,6,44,-8
SVN,5,5,0,0
SWE,1,8,-7,-7
SYR,5,41,-36,16
TGO,44,45,-1,-1
THA,38,6,32,-20
TJK,5,7,-2,-2
TKL,10,31,-21,-21
TKM,7,6,1,1
TON,28,33,-5,-5
TUN,3,2,1,1
TUR,1,2,-1,-1
TUV,37,16,21,21
UKR,5,51,-46,6
URY,24,26,-2,-2
USA,52,6,46,-6
UZB,8,47,-39,13
VNM,30,29,1,1
VUT,24,21,3,3
WLF,18,9,9,9
WSM,26,12,14,14
X09,50,10,40,-12
X11,51,1,50,-2
X12,51,2,49,-3
XKX,50,9,41,-11
YEM,37,3,34,-18
ZAF,20,19,1,1
ZMB,8,15,-7,-7
